Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"selectOptionByValue(findTestObject(""Object Repository/Sprint1/SPV-Assign-Staff/Page_PettyCash/select_Pilih OpsiSEMARANGSURABAYAJAKARTA GR_05f5b9_1""), ""0"", true)",Chrome 145.0.7632.160,,,11-03-2026 11:13:12,11-03-2026 11:13:14,2.374s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Sprint1/SPV-Assign-Staff/Page_PettyCash/select_Pilih OpsiBaruPenugasanDalam ProsesM_e7f10e""), ""0"", true)",Chrome 145.0.7632.160,,,11-03-2026 11:13:14,11-03-2026 11:13:15,1.085s,PASSED
"click(findTestObject(""Object Repository/Sprint1/SPV-Assign-Staff/Page_PettyCash/button_Cari""))",Chrome 145.0.7632.160,,,11-03-2026 11:13:15,11-03-2026 11:13:16,0.524s,PASSED
"click(findTestObject(""Object Repository/Sprint1/SPV-Assign-Staff/Page_PettyCash/input_Action_b3-b1-l1_0-152_0-Check""))",Chrome 145.0.7632.160,,,11-03-2026 11:13:16,11-03-2026 11:13:17,0.675s,PASSED
"click(findTestObject(""Object Repository/Sprint1/SPV-Assign-Staff/Page_PettyCash/button_Assign""))",Chrome 145.0.7632.160,,,11-03-2026 11:13:17,11-03-2026 11:13:17,0.570s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Sprint1/SPV-Assign-Staff/Page_PettyCash/div_Apakah anda yakin ingin melakukan penug_f3cfac""), 10)",Chrome 145.0.7632.160,,,11-03-2026 11:13:17,11-03-2026 11:13:18,0.538s,PASSED
"click(findTestObject(""Object Repository/Sprint1/SPV-Assign-Staff/Page_PettyCash/button_Assign_1""))",Chrome 145.0.7632.160,,,11-03-2026 11:13:18,11-03-2026 11:13:18,0.589s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Sprint1/SPV-Assign-Staff/Page_PettyCash/div_Penugasan berhasil di-Assign_1""), 10)",Chrome 145.0.7632.160,,,11-03-2026 11:13:18,11-03-2026 11:13:21,2.245s,PASSED
delay(5),Chrome 145.0.7632.160,,,11-03-2026 11:13:21,11-03-2026 11:13:26,5.027s,PASSED
,,,,,,,
Test Cases/Sprint-1/SPV-PIC-CBU/Staff-CBU-Assign-And-Draft,Chrome 145.0.7632.160,Staff CBU Draft,,11-03-2026 11:13:26,11-03-2026 11:15:03,1m - 36.982s,PASSED
"DATA BINDING - {""(Default) File3..."":""C:\\Users\\Lenovo T490\\Downloads\\Tester File\\3mb.pdf"",""(Default) Lorem..."":""C:\\Users\\Lenovo T490\\Downloads\\Tester File\\loremipsum2.pdf""}",,,,,,,
"callTestCase(findTestCase(""Sprint-1/Login-CBU/Login-Staff-CBU""), [:], STOP_ON_FAILURE)",Chrome 145.0.7632.160,,,11-03-2026 11:13:26,11-03-2026 11:13:40,14.302s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_ApplicationsCatalog/div_Risk Control Unit ApplicationRCU Apps c_31ac98""), 10)",Chrome 145.0.7632.160,,,11-03-2026 11:13:40,11-03-2026 11:13:46,5.903s,PASSED
"doubleClick(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_ApplicationsCatalog/div_Risk Control Unit ApplicationRCU Apps c_31ac98""))",Chrome 145.0.7632.160,,,11-03-2026 11:13:46,11-03-2026 11:13:47,0.462s,PASSED
"click(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_Dashboard/div_Monitoring  Review""))",Chrome 145.0.7632.160,,,11-03-2026 11:13:47,11-03-2026 11:13:50,3.643s,PASSED
"click(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_Dashboard/div_Operasional Cabang""))",Chrome 145.0.7632.160,,,11-03-2026 11:13:50,11-03-2026 11:13:51,0.533s,PASSED
"click(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_Dashboard/a_Petty Cash""))",Chrome 145.0.7632.160,,,11-03-2026 11:13:51,11-03-2026 11:13:52,0.802s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCash/span_PEMERIKSAAN PETTY CASH KANTOR CABANG""), 0)",Chrome 145.0.7632.160,,,11-03-2026 11:13:52,11-03-2026 11:14:02,10.100s,WARNING
"selectOptionByValue(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCash/select_Pilih OpsiSEMARANGSURABAYAJAKARTA GR_05f5b9""), ""0"", true)",Chrome 145.0.7632.160,,,11-03-2026 11:14:02,11-03-2026 11:14:03,1.367s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCash/select_Pilih OpsiBaruDalam ProsesMenunggu P_427f57""), ""0"", true)",Chrome 145.0.7632.160,,,11-03-2026 11:14:03,11-03-2026 11:14:04,1.151s,PASSED
"click(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCash/button_Cari""))",Chrome 145.0.7632.160,,,11-03-2026 11:14:04,11-03-2026 11:14:05,0.460s,PASSED
"click(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCash/button_Pemeriksaan""))",Chrome 145.0.7632.160,,,11-03-2026 11:14:05,11-03-2026 11:14:06,0.862s,PASSED
"click(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/button_Lihat Dokumen""))",Chrome 145.0.7632.160,,,11-03-2026 11:14:06,11-03-2026 11:14:09,3.124s,PASSED
"click(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/button_Tutup""))",Chrome 145.0.7632.160,,,11-03-2026 11:14:09,11-03-2026 11:14:10,0.680s,PASSED
"setText(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/input_Rp 7,500.00_b3-b3-b6-l4_0-536_0-Input_4bf8bd""), ""24-02-2022"")",Chrome 145.0.7632.160,,,11-03-2026 11:14:10,11-03-2026 11:14:11,0.979s,PASSED
"setText(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/input_Rp 7,500.00_b3-b3-b6-l4_0-536_0-b4-In_bb4b9a""), ""7500"")",Chrome 145.0.7632.160,,,11-03-2026 11:14:11,11-03-2026 11:14:12,1.624s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/select_Pilih OpsiSesuaiTidak Sesuai""), ""0"", true)",Chrome 145.0.7632.160,,,11-03-2026 11:14:12,11-03-2026 11:14:13,1.301s,PASSED
"setText(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/input_Rp 2,000.00_b3-b3-b6-l4_0-254_1-Input_506b82""), ""24-02-2022"")",Chrome 145.0.7632.160,,,11-03-2026 11:14:13,11-03-2026 11:14:15,1.027s,PASSED
"setText(findTestObject(""Object Repository/Sprint1/Staff-Assing-And-Draft/Page_PettyCashDetail/input_Rp 2,000.00_b3-b3-b6-l4_0-254_1-b4-In_b1876f""), ""2000"")",Chrome 145.0.7632.160,,,11-03-2026 11:14:15,11-03-2026 11:14:16,1.496s,PASSED
